area,type,label,text,tags,loop,role,causal,addresses,sources,url,orgs,bills
Institutional purchasing and the missing middle,challenge,Local supply is not organized to meet institutional specifications,"Agencies report that local sources of staple items are unavailable or cannot meet volume and specification; the Department of Corrections buys as much local produce as it can find but most of its $10 million goes to items not grown in Hawaii. Aggregation, processing and cold chain are thin: the Aloha+ dashboard counts nine produce processing and marshalling facilities statewide.",supply|infrastructure|missing-middle,2/3,Supply organization,"When supply cannot meet institutional specifications, buyers default to imports, and the market signal to producers weakens further.",The Department of Education has no centralized way to track local spending,goals|a1,,,Local Food System Development
Institutional purchasing and the missing middle,challenge,Rural commercial kitchens are priced out by wastewater rules,"Maui County identified the Department of Health's wastewater calculation for commercial kitchens as a top barrier: projected use is overestimated for rural sites on septic, requiring impractically sized systems that community organizations cannot afford.",infrastructure|regulation|kitchens,3/3,Processing capacity,"When community kitchens cannot be built, value-added processing and meal programs stay small, which limits what institutions can buy locally.",Local supply is not organized to meet institutional specifications,notes,,,
Institutional purchasing and the missing middle,strategy,Publish the compiled purchasing table with an owner and a common basis,"Keep one public table of every agency's local share across years, name an owner for it, and get the five agencies to agree on one basis (all food purchased, a common definition of local, a stated year type). Publish it through the Hawaii Open Data portal.",data|procurement|governance,,,,Statutory purchasing data exists but is not consolidated or comparable,a1,,,
Institutional purchasing and the missing middle,strategy,Track the flow of local produce into schools and other institutions,"Participants asked for tracking of local produce into schools and institutions, with supplier identifiers and county of origin built into the Department of Education's purchasing software (an RFP was out at the convening) and the Act 185 food hub sales pilot.",data|schools,,,,The Department of Education has no centralized way to track local spending,notes|a1,,Department of Education,Farm to School
Institutional purchasing and the missing middle,strategy,Fix the wastewater formula for rural commercial kitchens,Alter the Department of Health's projected-use calculation for commercial kitchens in rural areas on septic so that community kitchens can be permitted at a realistic size.,regulation|kitchens,,,,Rural commercial kitchens are priced out by wastewater rules,notes,,Department of Health,
Institutional purchasing and the missing middle,initiative,Hawaii Good Food Alliance Regional Food Business Center,"The Alliance leads planning, technical assistance and grants under the USDA Regional Food Business Center, the largest federal award to any organization in the set, aimed at the aggregation and business layer between farms and buyers.",missing-middle|federal,,,,,synth,,Hawaii Good Food Alliance,
Institutional purchasing and the missing middle,initiative,Act 185 food hub sales pilot,A pilot that would produce the first public series of food hub sales disaggregable by producer and buyer; the Department of Agriculture and Biosecurity's report is due in 2027.,data|food-hubs,,,,,a1,,Department of Agriculture and Biosecurity,Local Food System Development
Institutional purchasing and the missing middle,outcome,"Outcome: one table, one basis, and a market producers can plan around","Agencies report on the same basis, the table is maintained by a named owner, and multi-year contracts give producers a reason to scale.",procurement,,,,Publish the compiled purchasing table with an owner and a common basis,a1,,,
Food access and household food security,vision,"Vision: everybody fed, and fed good food","Participants want food treated as a need to have, not a nice to have: a priority for families, communities and institutions, with the monetary barrier to buying local food reduced because people see its value for health and the economy.",vision|access,,,,,notes,,,
Food access and household food security,space,"Household food access has no statute, no target and no mandated measure","Hawaii recognizes no statutory right to food, sets no food-access target and requires no report. The only repeated local measure is the food banks' commissioned survey, which found 32 percent of households food insecure in 2024 to 2025 (30 percent in 2023), against a federal estimate near 10 percent. Continuity depends on the banks' fundraising.",challenge-space|access|metrics,,Central framing,,,a1,,,
Food access and household food security,challenge,Federal cuts are landing on the charitable network at once,"Participants expect rising food prices, SNAP reductions and food bank funding losses together. The three food banks carry audited USDA food of about $11 million a year and Hawaii Foodbank alone reports $26 million in government grants; a cut at the top lands on partner agencies with one recorded source.",federal|resilience,1/3,Shock,"When federal food and funding fall at the same time, the hubs that carry most partner agencies have less to pass on, and single-source agencies have no recorded alternative.",,notes|goals,,,
Food access and household food security,challenge,Neighbor islands carry the highest need with the thinnest recorded network,"Hawaii and Maui counties have food insecurity around 40 percent of households and the highest ALICE shares, yet nearly all recorded organizational grant flow lands on Oahu, and the neighbor-island food banks itemize few organizational grantees on their filings.",geography|access,2/3,Geography,"When the recorded network is thinnest where need is highest, coordination cannot see where support is missing or how inter-island supply actually works.",Federal cuts are landing on the charitable network at once,a1|goals,,,
Food access and household food security,challenge,Demand-side and supply-side data cannot be read together,"Food-access stewards (the food banks, Aloha United Way's 211 and ALICE, the Hawaii Data Collaborative) and production stewards share no common identifiers or joint reporting, so the two sides of the same system are read in separate reports.",data|interoperability,3/3,Silo,"When supply and demand data cannot be joined, a purchasing gain or a production loss cannot be traced to households, and the food-security goal stays unmeasured.",Neighbor islands carry the highest need with the thinnest recorded network,a1,,,
Food access and household food security,strategy,Fund the food banks' statewide survey publicly and name an owner,"Recurring public funding for the household food security survey, with county tables published as data, so the state measures the outcome its own strategy names.",metrics|funding,,,,"Household food access has no statute, no target and no mandated measure",a1,,Hawaii Foodbank|Maui Food Bank|The Food Basket,
Food access and household food security,strategy,Connect food access indicators to the production and purchasing numbers,"Track a food-access indicator with the Hawaii Data Collaborative and Hawaii Foodbank alongside production and purchasing, using shared identifiers, so both sides of the system can be read together.",data|interoperability,,,,Demand-side and supply-side data cannot be read together,a1,,Hawaii Data Collaborative|Hawaii Foodbank,
Food access and household food security,strategy,Weave a five-year food plan into the Medicaid 1115 waiver,"One pair proposed carrying a five-year food plan into the state's Medicaid 1115 waiver, linking food access to health financing.",health|policy,,,,"Household food access has no statute, no target and no mandated measure",notes,,,
Food access and household food security,initiative,The State of Food Insecurity in Hawaii survey,"Commissioned by the four food banks, fielded on the USDA household module with county quotas and weighted to the American Community Survey; two waves so far (2023 and 2024 to 2025). The only repeated, county-resolved measure of any food goal.",metrics|survey,,,,,a1,https://hawaiifoodbank.org/who-we-are/reports/,Hawaii Foodbank|Maui Food Bank|The Food Basket,
Food access and household food security,initiative,Neighbor Connector intake at food distributions,"Hawaii Foodbank's paperless check-in (Feeding America's Service Insights) records age, ethnicity and household size at the point of service, an administrative complement to the survey that can describe small places.",data|intake,,,,,a1,https://hawaiifoodbank.org/connector/,Hawaii Foodbank|Hawaii Data Collaborative,
Food access and household food security,initiative,Maui County quarterly food security tracking with Maui Food Bank,The county's Department of Agriculture tracks quarterly food security trends with Maui Food Bank and publishes annual updates on its Food and Nutrition Security Plan metrics.,metrics|county,,,,,notes|synth,,Maui County Department of Agriculture|Maui Food Bank,
Food access and household food security,outcome,"Outcome: a food-access measure with an owner, read beside supply","A recurring, publicly funded household measure by county, joined to production and purchasing by shared identifiers.",metrics,,,,Fund the food banks' statewide survey publicly and name an owner,a1,,,
Culturally relevant food and food as medicine,space,Culturally relevant food and health outcomes are tracked program by program,"Food is Medicine programs track clinical outcomes (A1c, BMI, blood pressure, medication use, food insecurity screening, healthcare utilization and cultural relevancy of care), but the data live in separate program systems and are not yet a statewide series.",challenge-space|health,,Central framing,,,notes,,,
Culturally relevant food and food as medicine,strategy,"Build a monitoring, evaluation and learning model across Food is Medicine programs","The Hawaii Good Food Alliance is developing a monitoring, evaluation and learning model through its Food is Medicine work; participants asked that the clinical and cultural-relevancy indicators be designed for interoperability with CRMs and Airtable from the start.",health|evaluation|data,,,,Culturally relevant food and health outcomes are tracked program by program,notes|synth,,Hawaii Good Food Alliance,
Culturally relevant food and food as medicine,initiative,Hawaii Good Food Alliance Food is Medicine programs,"Programs that pair produce and culturally relevant food with health care, with participation data collected by the Alliance and partners.",health,,,,,synth,,Hawaii Good Food Alliance,
Culturally relevant food and food as medicine,initiative,GusNIP produce prescription awards in Hawaii,"USDA produce prescription awards to Hawaii recipients total about $20 million since 2020 in the federal award record, the fourth-largest food program reaching nonprofits here.",health|federal,,,,,goals,,,
Aina restoration and ecosystem health,space,Practice and ecosystem indicators are collected site by site,"Participants listed the indicators they would track (cover cropping, drip irrigation, no-spray and no-till practice, soil carbon, biodiversity) and noted graduate students working on soil abundance visualization; the data are gathered by sensors and assessments at partner sites, not as a statewide series.",challenge-space|ecology|metrics,,Central framing,,,notes,,,
Aina restoration and ecosystem health,strategy,Compare environmental and agricultural data across sites,"Purple Maia plans to compare ecosystem and agricultural data across partner sites, with narratives generated for site managers; a statewide roll-up would need shared units and consent from the organizations whose sites are measured.",ecology|data,,,,Practice and ecosystem indicators are collected site by site,notes|synth,,Purple Maia,
Aina restoration and ecosystem health,initiative,KILO Dashboard,"Purple Maia's dashboard aggregates water, soil and air sensor data across partner sites into per-site health gauges with generated narratives and a chatbot; partner access now, public access under consideration.",ecology|dashboard,,,,,synth|a1,https://ahupuaa-dashboard.labs.purplemaia.org/,Purple Maia,
Land justice and land back,space,Land under Indigenous stewardship is not inventoried,"Participants asked for an inventory of lands meaningfully under Indigenous stewardship and for programming that turns land back into food production, including reducing land cost and resolving archaeological-site rules where lineal descendants choose to restore traditional agriculture. No public series exists.",challenge-space|land-justice,,Central framing,,,notes,,,Ag Land
Land justice and land back,strategy,"Long, cheap, regenerative leases for local and Native Hawaiian producers","Participants proposed 99-year one-dollar regenerative leases with a focus on Native Hawaiian farmers and ohana-based farming, transfer of 100,000 acres of public and ceded lands to cooperatives and subsistence farms within five years, and a prohibition on large leaseholds to multinational agribusiness.",land|policy,,,,Land under Indigenous stewardship is not inventoried,notes,,,Ag Land
Land justice and land back,strategy,Track lease length and tenure alongside production,"Average lease length for farms and ranches, and producer tenure (lessee or owner, renter or homeowner), were on the convening's metric wishlist; they sit in Agribusiness Development Corporation, Department of Land and Natural Resources and Department of Hawaiian Home Lands records with no public series.",land|metrics,,,,Land under Indigenous stewardship is not inventoried,notes|a1,,,
Land justice and land back,initiative,Hawaiian home lands reference layer on this site,The Department of Hawaiian Home Lands' official inventory is drawn on the map as an outline for orientation; no figure on this site is computed by home-land status.,land|map,,,,,a1,,,
Climate resilience and disaster-ready food systems,space,"Disaster readiness is understood as production capacity, not stockpiles","Participants framed resilience as strong local production and supply chains rather than stockpiling, and pointed to the Maui wildfires: the ALICE share in Maui County rose nine points after August 2023, and Maui's food insecurity estimate sits around 40 percent.",challenge-space|resilience,,Central framing,,,notes,,,
Climate resilience and disaster-ready food systems,strategy,Read supply shocks through the network,"Use the recorded network to see which hubs carry federal food and money, which agencies depend on one source, and how inter-island supply moves, so a shock can be traced before it lands. This site's Food security tab is a first version.",resilience|data,,,,"Disaster readiness is understood as production capacity, not stockpiles",a1|goals,,,
Climate resilience and disaster-ready food systems,initiative,Food bank Maui wildfire response,Hawaii Foodbank's Maui wildfires response and recovery report documents the charitable network's role after August 2023.,resilience,,,,,a1,https://hawaiifoodbank.org/who-we-are/reports/,Hawaii Foodbank|Maui Food Bank,
"Water access, equity and management",space,Water access for Hawaiian home lands lessees needs statewide coordination,"Participants asked how statewide coordination could work between agencies, including the Agribusiness Development Corporation, the Department of Agriculture and the Department of Hawaiian Home Lands, to protect water access for lessees on Maui and lower water rates for Molokai lessees.",challenge-space|water,,Central framing,,,notes,,,Water
"Water access, equity and management",strategy,Coordinate water access across state agencies and counties,"Work through individual counties and the state agencies that hold water and land to secure access and affordable rates for producers, with lessees on Hawaiian home lands first.",water|governance,,,,Water access for Hawaiian home lands lessees needs statewide coordination,notes,,Department of Hawaiian Home Lands,Water
Food waste reduction and circular economy,space,Circular-economy output is not measured,"Participants asked to track the production output of local waste-reduction and circular-economy companies such as Hawaiian Earth and Aloha Harvest, including in-state fertilizer and feed producers.",challenge-space|food-waste,,Central framing,,,notes,,,
Food waste reduction and circular economy,initiative,Aloha Harvest food rescue,"Aloha Harvest rescues and redistributes food on Oahu; it is the second-largest distributor in the recorded network, giving out about $13 million of food in its latest filing.",food-waste|rescue,,,,,goals,,Aloha Harvest,
Food waste reduction and circular economy,strategy,Track diverted food and compost output as a series,"Report pounds rescued, composted and returned to soil by the organizations doing it, so the circular economy has a number the room can watch.",food-waste|metrics,,,,Circular-economy output is not measured,notes,,Aloha Harvest,
Institutional capacity and policy reform,vision,Vision: a coordination framework that tracks progress and tells the truth about capacity,"By 2030 participants want a statewide food systems coordination framework with ways to track progress, real policy and on-the-ground results, transparency and information sharing, trust among partners, and the honesty to say when a need is not met and then make policy to meet it.",vision|governance,,,,,notes,,,
Institutional capacity and policy reform,space,"Nine data stewards, no owner for the whole picture","Government stewards publish statistics but largely repackage federal series; the university builds standards but hosts no series; nonprofits run the flagship tracker and the only repeated survey; private consultancies fill gaps under contract. No steward type owns the whole picture, which is why a coordination initiative has a role.",challenge-space|governance|data,,Central framing,,,a1,,,
Institutional capacity and policy reform,challenge,Prospective dashboards outnumber live ones,"Several of the most-cited efforts (Maui County's dashboard and access map, Purple Maia's public access, Hawaii Investment Ready's framework) were in development at the time of the assessment; definitions, disaggregations, periods and platforms differ.",dashboards|interoperability,1/3,Fragmentation,"When systems are built separately, definitions harden before they are shared, and joining them later becomes expensive.",,a1,,,
Institutional capacity and policy reform,challenge,Metrics are listed as tracked with no one responsible,"Guam's dashboard gives every metric an action lead, partners and a status; Aloha+ has status flags but no owners. In Hawaii nothing is tracked in a way that names who keeps it current.",governance|metrics,2/3,Ownership,"When no one owns a metric, it lapses, as the percent-local series did in 2011.",Prospective dashboards outnumber live ones,a1,,,
Institutional capacity and policy reform,challenge,"Communications, analysis and evaluation capacity are thin and uncoordinated","The coordination team's own agenda asks how to analyze new information quickly for specialist and public audiences, whether professional messaging is needed, how to boost visibility of results, and how to work with evaluators and philanthropic partners consistently.",communications|evaluation,3/3,Capacity,"When results are not analyzed and communicated, decision makers do not act on them, and the case for owners and funding is never made.",Metrics are listed as tracked with no one responsible,synth,,,
Institutional capacity and policy reform,strategy,"Assign an owner, partners and a status to every key metric","Adopt Guam's accountability scaffold: a lead, named partners and a current status for each metric, so nothing is listed as tracked with no one responsible.",governance|metrics,,,,Metrics are listed as tracked with no one responsible,a1,,,
Institutional capacity and policy reform,strategy,Agree shared definitions and identifiers while systems are still forming,"Start with a small set of shared metrics, stable identifiers for the units data is sliced by (island, county, moku, organization), and agreed exchange formats; publish through the Hawaii Open Data portal rather than a new platform.",interoperability|data,,,,Prospective dashboards outnumber live ones,a1|notes,,,
Institutional capacity and policy reform,strategy,Keep a living inventory of who is doing what,"Maintain the steward activity matrix as a living resource rather than a one-time snapshot, identify missing organizations and programs, and keep sharing data; this site's steward inventory is seeded from the convening's matrix.",inventory|governance,,,,"Nine data stewards, no owner for the whole picture",synth|a1,,,
Institutional capacity and policy reform,strategy,Build metrics into Aloha+ before standing up anything new,"Strengthen the Aloha+ Challenge local-food goal area with better production and consumption numbers and a named maintainer, and decide deliberately whether a standalone site is worth building.",dashboards|governance,,,,Prospective dashboards outnumber live ones,a1,,Hawaii Green Growth,
Institutional capacity and policy reform,initiative,Food+ Bill Tracker and policy incubator,"Purple Maia's Hawaii Food+ Policy team has tracked food-system bills since 2021 and publishes a live tracker for the 2026 session grouped by legislative stage and tagged by topic, with lists of bills needing testimony and bills at risk of dying, alongside a summer policy incubator.",policy|tracking,,,,,synth|a1,https://www.foodpluspolicy.com/2026-food-tools,Purple Maia,
Institutional capacity and policy reform,initiative,Aloha+ Challenge Dashboard,"The state's goals platform, government-housed on an open-data platform and jointly led by the State, the four counties and the Office of Hawaiian Affairs, with a local food production and consumption goal area and per-indicator status flags.",dashboards,,,,,a1,https://alohachallenge.hawaii.gov/,Hawaii Green Growth,
Institutional capacity and policy reform,initiative,Food System Sustainability Indicator and Metric System,"UH West Oahu's Ke O Mau Center and Transforming Hawaii's Food System Together are building an indicator system aligned to the 17 UN Sustainable Development Goals, piloted through a published Delphi ranking of food-security indicators for Hawaii, to feed the Aloha+ dashboard.",metrics|standards,,,,,notes|a1,,UH West Oahu Ke O Mau Center|Transforming Hawaii's Food System Together,
Institutional capacity and policy reform,initiative,Statewide Food Systems Coordination monthly call and working group,"Oahu RC&D convenes a monthly coordination call, a state food systems working group page, the data landscape convenings, and a data call on 2026 requests.",governance,,,,,synth,,Oahu Resource Conservation and Development Council,
Institutional capacity and policy reform,outcome,Outcome: shared infrastructure that lets existing stewards work together,"Clear ownership for each metric, a living inventory, shared definitions and identifiers, and coordination capacity that turns fragmented datasets into a shared picture of progress.",governance,,,,"Assign an owner, partners and a status to every key metric",a1,,,
Food systems investment and business performance,space,Capital for the food system was mapped once,Hawaii Investment Ready's 2022 Capital Scan mapped who funds what; a systemic investing framework is in development and intended to be public. Foundation and intermediary grants to food organizations appear annually in public filings and could refresh the picture every year.,challenge-space|investment,,Central framing,,,notes|a1,,,
Food systems investment and business performance,strategy,Refresh the capital picture annually from public filings,"Use Form 990 Schedule I and 990-PF grant rows, federal awards and audits, as this site does, to update who funds food-system work each year, and add investment data the framework collects.",investment|data,,,,Capital for the food system was mapped once,a1,,Hawaii Investment Ready,
Food systems investment and business performance,initiative,Hawaii Investment Ready food systems investing framework,"Research, data collection, stakeholder engagement and systems mapping to move capital more strategically for systems change; to be a public resource when complete.",investment,,,,,notes|synth,,Hawaii Investment Ready,
Food systems investment and business performance,initiative,Farm profitability analysis,"The Department of Agriculture and Biosecurity's 2025 profitability analysis found profitability concentrated in narrow sales and acreage categories, which motivates tracking farm distribution by size alongside production totals.",business|metrics,,,,,a1,https://dab.hawaii.gov/add/files/2025/07/Profitability-of-Farm-Operations-in-Hawaii.pdf,Department of Agriculture and Biosecurity,
